Nexo,NEXO,https://coinmarketcap.com/currencies/nexo/,1.63
NEAR Protocol,NEAR,https://coinmarketcap.com/currencies/near-protocol/,2.18
Mdex,MDX,https://coinmarketcap.com/currencies/mdex/,1.61
Telcoin,TEL,https://coinmarketcap.com/currencies/telcoin/,0.02
Harmony,ONE,https://coinmarketcap.com/currencies/harmony/,0.08
Zilliqa,ZIL,https://coinmarketcap.com/currencies/zilliqa/,0.07
Basic Attention Token,BAT,https://coinmarketcap.com/currencies/basic-attention-token/,0.55
Flow,FLOW,https://coinmarketcap.com/currencies/flow/,19.24
Bitcoin Gold,BTG,https://coinmarketcap.com/currencies/bitcoin-gold/,43.88
Celo,CELO,https://coinmarketcap.com/currencies/celo/,2.87
Bancor,BNT,https://coinmarketcap.com/currencies/bancor/,3.20
Horizen,ZEN,https://coinmarketcap.com/currencies/horizen/,59.15
Curve DAO Token,CRV,https://coinmarketcap.com/currencies/curve-dao-token/,1.74
0x,ZRX,https://coinmarketcap.com/currencies/0x/,0.78
Qtum,QTUM,https://coinmarketcap.com/currencies/qtum/,6.59
SwissBorg,CHSB,https://coinmarketcap.com/currencies/swissborg/,0.61
Siacoin,SC,https://coinmarketcap.com/currencies/siacoin/,0.01
Ontology,ONT,https://coinmarketcap.com/currencies/ontology/,0.69
Revain,REV,https://coinmarketcap.com/currencies/revain/,0.01
DigiByte,DGB,https://coinmarketcap.com/currencies/digibyte/,0.04
OMG Network,OMG,https://coinmarketcap.com/currencies/omg/,4.22
Nano,NANO,https://coinmarketcap.com/currencies/nano/,4.40
OKB,OKB,https://coinmarketcap.com/currencies/okb/,9.69
ICON,ICX,https://coinmarketcap.com/currencies/icon/,0.91
